gene_id,gene_name,chrom,start,end,strand,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000120645,IQSEC3,chr12,66767,178455,1,0.0,49.0,0.0,4,0,0.9125,169,5,130,6,0,0,58.50947321428571
ENSG00000111181,SLC6A12,chr12,190069,220144,-1,0.0,108.0,0.0,1,0,0.94,49,7,33,5,0,0,63.65465161290323
ENSG00000010379,SLC6A13,chr12,220621,262873,-1,0.0,108.0,0.0,0,16456,,45,3,34,2,0,0,63.464797674418605
ENSG00000073614,KDM5A,chr12,280057,389320,-1,0.0,319.0,0.0,1,0,0.9,68,1,54,3,1,0,63.22089454545454
ENSG00000120647,CCDC77,chr12,389273,442644,1,0.0,37.0,0.0,2,0,0.91,25,4,10,3,2,0,65.02158181818183
ENSG00000139044,B4GALNT3,chr12,459923,563509,1,0.0,66.0,0.0,1,0,0.88,144,1,136,1,1,0,67.09328571428571
ENSG00000171840,NINJ2,chr12,562852,663742,-1,0.0,143.0,0.0,3,0,1.0367,171,8,152,0,7,0,69.66124705882352
ENSG00000060237,WNK1,chr12,752536,911452,1,0.0,1098.0,0.0,1,0,0.85,164,4,149,0,3,0,71.83754716981132
ENSG00000002016,RAD52,chr12,910870,990053,-1,0.0,136.0,0.0,1,0,0.8,73,3,56,3,2,0,67.435495
ENSG00000082805,ERC1,chr12,989998,1495933,1,0.0,217.0,0.0,2,0,0.86,481,5,361,26,2,0,69.91864753451677
ENSG00000111186,WNT5B,chr12,1529854,1647243,1,0.0,169.0,0.0,5,0,0.888,189,4,170,2,4,0,77.25536016949152
ENSG00000171823,FBXL14,chr12,1565993,1594581,-1,0.0,40.0,0.0,1,0,0.95,57,2,53,0,3,0,77.263
ENSG00000006831,ADIPOR2,chr12,1688574,1788680,1,0.0,458.0,0.0,1,0,1.1,104,1,98,0,1,0,77.68267227722772
ENSG00000151062,CACNA2D4,chr12,1791963,1918666,-1,0.0,227.0,0.0,3,0,0.8433,197,6,148,8,3,0,75.24423125000001
