gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000182378,PLCXD1,chrX,276322,303358,1,6,0,0.7683,51,3,27,4,0.0,21.0,0.0,2,0,66.79833928571428
ENSG00000178605,GTPBP6,chrX,303346,318846,-1,8,0,0.7675,39,1,15,6,0.0,19.0,0.0,1,0,65.91083529411766
ENSG00000167393,PPP2R3B,chrX,333933,386955,-1,14,0,0.7914,103,1,76,3,0.0,27.0,0.0,2,0,64.19414074074074
ENSG00000185960,SHOX,chrX,624344,659411,1,6,0,0.8783,70,2,56,0,0.0,160.0,0.0,0,0,50.47752777777779
ENSG00000205755,CRLF2,chrX,1190490,1212723,-1,1,0,0.95,23,1,12,0,3.0,382.0,1.0,1,0,57.9425625
ENSG00000198223,CSF2RA,chrX,1268779,1325373,1,1,0,0.8,51,1,38,0,0.0,282.0,0.0,0,0,55.50938245614036
ENSG00000185291,IL3RA,chrX,1335025,1382689,1,2,0,1.13,49,1,36,1,0.0,344.0,0.0,0,0,54.76613061224491
ENSG00000169100,SLC25A6,chrX,1386133,1392929,-1,4,0,0.9025,21,1,19,0,0.0,173.0,0.0,1,0,55.427237500000004
ENSG00000169093,ASMTL,chrX,1403138,1453786,-1,7,0,0.7929,85,3,56,2,0.0,54.0,0.0,2,0,57.08104423076923
ENSG00000182162,P2RY8,chrX,1462572,1537187,-1,2,0,0.82,140,1,134,1,0.0,116.0,0.0,12,0,60.86018666666666
ENSG00000197976,AKAP17A,chrX,1591604,1602532,1,3,0,0.84,30,1,19,0,0.0,41.0,0.0,1,0,62.88655
ENSG00000196433,ASMT,chrX,1615059,1643081,1,0,13325,,20,1,12,2,0.0,70.0,0.0,0,0,61.966444827586194
ENSG00000169084,DHRSX,chrX,2219506,2502805,-1,3,0,0.8767,299,3,224,11,0.0,16.0,0.0,1,0,58.98728169014084
ENSG00000214717,ZBED1,chrX,2486414,2502862,-1,3,0,0.8767,32,3,25,2,0.0,57.0,0.0,1,0,61.19531666666668
ENSG00000002586,CD99,chrX,2690988,2741312,1,1,0,0.82,66,2,63,0,0.0,400.0,0.0,4,0,64.03834117647058
ENSG00000124343,XG,chrX,2752040,2816500,1,0,12012,,59,1,46,1,0.0,64.0,0.0,0,0,64.98430151515153
ENSG00000056998,GYG2,chrX,2828571,2890109,1,1,0,0.81,39,2,31,0,0.0,60.0,0.0,0,0,63.917
ENSG00000006756,ARSD,chrX,2903972,2929405,-1,3,0,0.7733,30,2,17,1,0.0,58.0,0.0,0,0,61.52568461538461
ENSG00000157399,ARSL,chrX,2934045,2968475,-1,0,4575,,22,3,13,0,0.0,141.0,0.0,0,0,59.55659428571428
ENSG00000205667,ARSH,chrX,3006546,3034111,1,0,77076,,8,1,1,1,0.0,165.0,0.0,0,0,55.629085714285715
ENSG00000062096,ARSF,chrX,3040235,3112822,1,0,110765,,25,1,15,1,0.0,92.0,0.0,0,0,53.4612054054054
ENSG00000101825,MXRA5,chrX,3308565,3346652,-1,3,0,0.77,19,1,11,0,0.0,130.0,0.0,0,0,49.65938205128205
ENSG00000183943,PRKX,chrX,3604340,3713649,-1,2,0,0.94,81,1,67,1,0.0,86.0,0.0,2,0,62.41722702702704
ENSG00000146938,NLGN4X,chrX,5840637,6228867,-1,3,0,0.8667,183,4,130,7,0.0,108.0,0.0,0,0,17.769433419023137
ENSG00000169059,VCX3A,chrX,6533618,6535118,-1,0,305753,,0,0,0,0,0.0,30.0,0.0,0,0,22.72805
