patient_id,nearest_gene_name,chrom,last_tp_abundance,growth_rate,n_timepoints,label_raw,label,dist_to_nearest_tss,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,replication_timing,patient_id_enc,ext_n_patients,ext_n_datasets,ext_n_unique_sites,ext_max_abundance,ext_log_unique_sites,ext_log_n_patients,chrom_int
P11,OR4F5,chr1,20.0,0.13911376447846122,3,3.044522437723423,0.36033898305084744,51465,2540290.0,6166,0,0,35682,,1,0,0,0,0.0,2.0,0,,67.929,2,28.0,2.0,43.0,0.0,3.784189633918261,3.367295829986474,0
P11,OR4F29,chr1,66.0,0.11053349426709913,6,4.204692619390966,0.6185084745762712,192174,2294740.0,938,1,0,39429,,0,0,0,0,0.0,2.0,0,,23.56235,2,10.0,2.0,12.0,0.0,2.5649493574615367,2.3978952727983707,0
P11,OR4F16,chr1,78.0,-0.03781324829414267,20,4.3694478524670215,0.6752542372881356,60940,1928530.0,938,1,0,74447,,0,0,0,0,0.0,0.0,0,,67.15700000000001,2,51.0,2.0,214.0,0.0,5.3706380281276624,3.9512437185814275,0
P11,TTLL10,chr1,0.0,0.12723235932531732,3,0.0,0.1302372881355932,28525,1408889.0,24060,0,2,0,0.73,41,2,26,2,0.0,56.0,0,,79.135836,2,54.0,2.0,307.0,0.0,5.730099782973574,4.007333185232471,0
P11,TAS1R3,chr1,70.0,-0.5240920510704781,3,4.2626798770413155,0.6381016949152543,3226,1226190.0,4034,0,2,0,0.695,11,1,10,0,0.0,112.0,0,,81.01921999999999,2,52.0,2.0,341.0,0.0,5.834810737062605,3.970291913552122,0
P11,MIB2,chr1,21.0,0.1409813342966305,4,3.091042453358316,0.36874576271186443,7402,946212.0,15176,1,4,0,0.7825,45,4,40,0,0.0,102.0,0,,76.87071176470587,2,43.0,2.0,168.0,0.0,5.1298987149230735,3.784189633918261,0
P11,CDK11A,chr1,95.0,-0.0167655211107102,7,4.564348191467836,0.7383728813559322,11487,841249.0,22103,1,3,0,0.86,21,1,9,3,0.0,45.0,0,,79.7372,2,56.0,2.0,562.0,0.0,6.333279628139691,4.04305126783455,0
P11,RER1,chr1,0.0,0.1714147882832809,2,0.0,0.1302372881355932,72137,235711.0,14774,0,2,0,0.83,29,3,24,0,0.0,100.0,0,,67.45038666666669,2,38.0,2.0,135.0,0.0,4.912654885736052,3.6635616461296463,0
P11,PHF13,chr1,0.0,0.0,1,0.0,0.1302372881355932,16262,187985.0,10299,0,1,0,0.95,19,3,14,0,0.0,160.0,0,,77.89728181818181,2,26.0,2.0,60.0,0.0,4.110873864173311,3.295836866004329,0
P11,CAMTA1,chr1,43.0,0.17267957236234924,5,3.784189633918261,0.4966101694915254,39847,39847.0,984252,1,6,0,0.8533,1238,6,941,47,1.0,303.0,1,,54.37934381338742,2,59.0,2.0,1380.0,0.0,7.2305631534092925,4.0943445622221,0
P11,UTS2,chr1,101.0,0.15929129968668113,3,4.624972813284271,0.7578305084745762,33704,1034354.0,10429,1,0,15667,,9,1,3,1,0.0,226.0,0,,62.043883333333326,2,51.0,2.0,353.0,0.0,5.869296913133774,3.9512437185814275,0
P11,SLC45A1,chr1,109.0,-0.08562818699548458,6,4.700480365792417,0.7818305084745762,124099,1408551.0,26063,0,6,0,0.7717,33,2,17,6,0.0,99.0,0,,60.63394444444444,2,59.0,2.0,1788.0,0.0,7.489412083508719,4.0943445622221,0
P11,RERE,chr1,230.0,-0.2742914527734612,19,5.442417710521793,0.9454915254237288,265324,1798143.0,496524,1,4,0,0.865,684,6,631,10,0.0,560.0,0,,67.75006204819277,2,59.0,2.0,5718.0,0.0,8.651549243915316,4.0943445622221,0
P11,CA6,chr1,0.0,0.0,1,0.0,0.1302372881355932,22535,2137878.0,29225,1,0,64129,,44,1,42,0,0.0,181.0,0,,76.05657,2,37.0,2.0,97.0,0.0,4.584967478670572,3.6375861597263857,0
P11,SLC2A7,chr1,16.0,0.12718319234197883,2,2.833213344056216,0.32949152542372884,39254,2201715.0,23450,1,0,12798,,33,1,32,0,0.0,25.0,0,,74.07782083333333,2,42.0,2.0,136.0,0.0,4.919980925828125,3.7612001156935624,0
P11,GPR157,chr1,192.0,-0.26284005925389814,4,5.262690188904886,0.9107796610169492,20292,2153726.0,28817,1,1,0,0.85,49,2,43,0,0.0,31.0,0,,66.85140333333332,2,55.0,2.0,500.0,0.0,6.2166061010848646,4.02535169073515,0
P11,SPSB1,chr1,146.0,-0.015664148965017013,4,4.990432586778736,0.8496949152542372,14078,1984533.0,77431,1,3,0,0.9,144,1,135,0,0.0,87.0,0,,59.46300632911393,2,36.0,2.0,83.0,0.0,4.430816798843313,3.6109179126442243,0
P11,PIK3CD,chr1,114.0,-0.045425023639225785,4,4.74493212836325,0.7943728813559322,19627,1652294.0,100228,0,3,0,0.84,143,4,136,0,0.0,2196.0,0,,71.8077306930693,2,59.0,2.0,673.0,0.0,6.513230110912307,4.0943445622221,0
P11,CLSTN1,chr1,169.0,0.1533596848760875,3,5.135798437050262,0.8830508474576271,96887,1535450.0,95067,0,4,0,0.82,134,2,123,1,0.0,190.0,0,,74.64392500000001,2,59.0,2.0,1377.0,0.0,7.228388451573604,4.0943445622221,0
P11,PGD,chr1,48.0,-0.23803370614141467,13,3.8918202981106265,0.5246779661016949,89876,953840.0,21919,0,1,0,0.88,23,1,19,0,0.0,275.0,0,,75.03374347826087,2,59.0,2.0,1638.0,0.0,7.40184157874383,4.0943445622221,0
P11,MTOR,chr1,17.0,0.14956891603133407,2,2.8903717578961645,0.33776271186440676,35950,35950.0,156025,1,1,0,0.75,156,3,145,0,5.0,2341.0,1,,75.00580700636944,2,49.0,2.0,263.0,0.0,5.575949103146316,3.912023005428146,0
P11,NPPB,chr1,425.0,0.19622873410598976,2,6.054439346269371,0.9976949152542373,1424,594996.0,1512,1,0,82,,4,1,3,0,0.0,1194.0,0,,81.53923333333331,2,53.0,2.0,332.0,0.0,5.808142489980444,3.9889840465642745,0
P11,DHRS3,chr1,237.0,0.1578373943719623,4,5.472270673671475,0.952406779661017,192912,1164665.0,52224,1,2,0,0.865,100,4,86,1,0.0,114.0,0,,81.09649811320753,2,59.0,2.0,913.0,0.0,6.81783057145415,4.0943445622221,0
P11,KAZN,chr1,250.0,-0.08611336237627559,10,5.5254529391317835,0.9585762711864407,38178,1981481.0,1225251,1,6,0,0.925,1341,9,1002,61,0.0,101.0,0,,51.54135028524857,2,59.0,2.0,1059.0,0.0,6.966024187106113,4.0943445622221,0
P11,ZBTB17,chr1,142.0,0.2042589370702153,3,4.962844630259907,0.8446101694915255,69068,70969.0,35729,1,3,0,0.77,78,1,73,0,0.0,102.0,0,,79.92031081081082,2,56.0,2.0,582.0,0.0,6.368187186350492,4.04305126783455,0
P11,EPHA2,chr1,37.0,0.18482023775476855,3,3.6375861597263857,0.4618983050847458,5073,314901.0,31732,0,3,0,0.83,74,2,71,0,0.0,552.0,0,,82.46770303030303,2,50.0,1.0,373.0,0.0,5.924255797414532,3.9318256327243257,0
P11,CPLANE2,chr1,121.0,0.03283674774255355,7,4.804021044733257,0.8096949152542373,11880,389208.0,5491,0,1,0,1.06,9,1,8,0,0.0,140.0,0,,81.46658333333333,2,59.0,2.0,1373.0,0.0,7.2254814727822945,4.0943445622221,0
P11,NBPF1,chr1,109.0,0.10952805279643901,10,4.700480365792417,0.7818305084745762,65862,711605.0,51243,1,1,0,0.91,40,1,31,3,0.0,109.0,0,,77.27220943396227,2,59.0,2.0,1469.0,0.0,7.293017679772782,4.0943445622221,0
P11,SDHB,chr1,0.0,0.1645431857093531,3,0.0,0.1302372881355932,18289,1199767.0,35487,1,1,0,0.97,39,1,33,0,0.0,752.0,0,,69.2395277777778,2,24.0,2.0,114.0,0.0,4.74493212836325,3.2188758248682006,0
P11,ACTL8,chr1,67.0,0.1462725825893571,2,4.219507705176107,0.6229830508474576,105988,981501.0,71730,0,1,0,0.68,66,1,36,6,0.0,61.0,0,,59.48224246575342,2,54.0,2.0,462.0,0.0,6.137727054086234,4.007333185232471,0
P11,MRTO4,chr1,0.0,0.0,1,0.0,0.1302372881355932,2616,623566.0,8332,1,1,0,0.88,15,0,14,0,0.0,34.0,0,,64.39005555555555,2,30.0,2.0,64.0,0.0,4.174387269895637,3.4339872044851463,0
P11,MICOS10,chr1,78.0,0.16313827748323942,3,4.3694478524670215,0.6752542372881356,81800,771757.0,145418,0,2,0,0.86,165,6,131,4,0.0,36.0,0,,69.11820340136053,2,58.0,2.0,708.0,0.0,6.5638555265321274,4.07753744390572,0
P11,TMCO4,chr1,45.0,0.15732721219430618,3,3.828641396489095,0.5082033898305085,65584,1104070.0,118293,1,1,0,0.79,151,3,123,4,0.0,37.0,0,,71.01247333333335,2,53.0,2.0,546.0,0.0,6.304448802421981,3.9889840465642745,0
P11,PLA2G2E,chr1,121.0,0.16300929022661703,2,4.804021044733257,0.8096949152542373,8162,1284609.0,3608,0,0,37040,,8,0,8,0,0.0,42.0,0,,70.6576,2,56.0,2.0,461.0,0.0,6.135564891081739,4.04305126783455,0
