gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000184731,FAM110C,chr2,38814,46870,-1,1,0,0.93,11,2,9,0,0.0,46.0,0.0,1,0,27.350333333333335
ENSG00000035115,SH3YL1,chr2,217730,266398,-1,1,0,0.87,56,4,42,1,0.0,127.0,0.0,1,0,26.389175510204076
ENSG00000143727,ACP1,chr2,264140,279100,1,1,0,0.87,19,2,15,1,0.0,373.0,0.0,1,0,26.635975000000002
ENSG00000189292,ALKAL2,chr2,278286,289623,-1,1,0,1.07,21,5,15,0,0.0,160.0,0.0,0,0,26.73483076923077
ENSG00000151353,TMEM18,chr2,663877,677470,-1,1,0,0.93,28,4,23,0,0.0,109.0,0.0,1,0,30.165064285714283
ENSG00000172554,SNTG2,chr2,950849,1367613,1,5,0,0.816,298,2,180,25,0.0,62.0,0.0,2,0,21.544328947368424
ENSG00000115705,TPO,chr2,1373933,1543711,1,4,0,0.76,160,2,130,4,0.0,972.0,0.0,3,0,22.872459064327483
ENSG00000130508,PXDN,chr2,1631887,1744852,-1,3,0,0.92,192,1,189,0,0.0,603.0,0.0,0,0,30.042800877192985
ENSG00000186487,MYT1L,chr2,1789113,2331664,-1,7,0,0.9357,541,9,407,36,0.0,175.0,0.0,0,0,28.37000625
ENSG00000032389,EIPR1,chr2,3188925,3377852,-1,7,0,0.8271,251,1,217,5,0.0,107.0,0.0,2,0,64.06581789473684
ENSG00000171853,TRAPPC12,chr2,3379674,3485094,1,4,0,0.9,145,2,129,0,0.0,68.0,0.0,3,0,72.14362075471698
ENSG00000182551,ADI1,chr2,3497366,3519559,-1,2,0,0.785,20,2,12,2,0.0,125.0,0.0,1,0,76.09429583333333
