patient_id,nearest_gene_name,chrom,last_tp_abundance,growth_rate,n_timepoints,label_raw,label,dist_to_nearest_tss,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,patient_id_enc,ext_n_patients,ext_n_datasets,ext_n_unique_sites,ext_max_abundance,chrom_int
P11,OR4F5,chr1,20.0,0.13911376447846122,3,3.044522437723423,0.13519706691109074,51465,2540290.0,6166,0,0,35682,,1,0,0,0,0.0,2.0,0,2,28.0,2.0,43.0,0.0,0
P11,OR4F29,chr1,66.0,0.11053349426709913,6,4.204692619390966,0.4842346471127406,192174,2294740.0,938,1,0,39429,,0,0,0,0,0.0,2.0,0,2,10.0,2.0,12.0,0.0,0
P11,OR4F16,chr1,78.0,-0.03781324829414267,20,4.3694478524670215,0.5609532538955087,60940,1928530.0,938,1,0,74447,,0,0,0,0,0.0,0.0,0,2,51.0,2.0,214.0,0.0,0
P11,TAS1R3,chr1,70.0,-0.5240920510704781,3,4.2626798770413155,0.510724106324473,3226,1226190.0,4034,0,2,0,0.695,11,1,10,0,0.0,112.0,0,2,52.0,2.0,341.0,0.0,0
P11,MIB2,chr1,21.0,0.1409813342966305,4,3.091042453358316,0.1465627864344638,7402,946212.0,15176,1,4,0,0.7825,45,4,40,0,0.0,102.0,0,2,43.0,2.0,168.0,0.0,0
P11,CDK11A,chr1,95.0,-0.0167655211107102,7,4.564348191467836,0.6462878093492209,11487,841249.0,22103,1,3,0,0.86,21,1,9,3,0.0,45.0,0,2,56.0,2.0,562.0,0.0,0
P11,CAMTA1,chr1,43.0,0.17267957236234924,5,3.784189633918261,0.31943171402383136,39847,39847.0,984252,1,6,0,0.8533,1238,6,941,47,1.0,303.0,1,2,59.0,2.0,1380.0,0.0,0
P11,UTS2,chr1,101.0,0.15929129968668113,3,4.624972813284271,0.6725939505041246,33704,1034354.0,10429,1,0,15667,,9,1,3,1,0.0,226.0,0,2,51.0,2.0,353.0,0.0,0
P11,SLC45A1,chr1,109.0,-0.08562818699548458,6,4.700480365792417,0.7050412465627864,124099,1408551.0,26063,0,6,0,0.7717,33,2,17,6,0.0,99.0,0,2,59.0,2.0,1788.0,0.0,0
P11,RERE,chr1,230.0,-0.2742914527734612,19,5.442417710521793,0.9263061411549037,265324,1798143.0,496524,1,4,0,0.865,684,6,631,10,0.0,560.0,0,2,59.0,2.0,5718.0,0.0,0
P11,SLC2A7,chr1,16.0,0.12718319234197883,2,2.833213344056216,0.09349220898258478,39254,2201715.0,23450,1,0,12798,,33,1,32,0,0.0,25.0,0,2,42.0,2.0,136.0,0.0,0
P11,GPR157,chr1,192.0,-0.26284005925389814,4,5.262690188904886,0.8793767186067828,20292,2153726.0,28817,1,1,0,0.85,49,2,43,0,0.0,31.0,0,2,55.0,2.0,500.0,0.0,0
P11,SPSB1,chr1,146.0,-0.015664148965017013,4,4.990432586778736,0.7967919340054995,14078,1984533.0,77431,1,3,0,0.9,144,1,135,0,0.0,87.0,0,2,36.0,2.0,83.0,0.0,0
P11,PIK3CD,chr1,114.0,-0.045425023639225785,4,4.74493212836325,0.7219981668194317,19627,1652294.0,100228,0,3,0,0.84,143,4,136,0,0.0,2196.0,0,2,59.0,2.0,673.0,0.0,0
P11,CLSTN1,chr1,169.0,0.1533596848760875,3,5.135798437050262,0.8418881759853346,96887,1535450.0,95067,0,4,0,0.82,134,2,123,1,0.0,190.0,0,2,59.0,2.0,1377.0,0.0,0
P11,PGD,chr1,48.0,-0.23803370614141467,13,3.8918202981106265,0.35737855178735106,89876,953840.0,21919,0,1,0,0.88,23,1,19,0,0.0,275.0,0,2,59.0,2.0,1638.0,0.0,0
P11,MTOR,chr1,17.0,0.14956891603133407,2,2.8903717578961645,0.10467461044912924,35950,35950.0,156025,1,1,0,0.75,156,3,145,0,5.0,2341.0,1,2,49.0,2.0,263.0,0.0,0
