nearest_gene_name,chrom,label,label_max,n_unique_patients,n_site_obs,dist_to_nearest_tss,in_gene_body,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,gtex_thymus_tpm,gtex_whole_blood_tpm,gtex_spleen_tpm,gtex_immune_mean_tpm
A1BG,chr19,3.450118298055995,4.605170185988092,8,14,4126,1,4211656.0,8314,0,2,0,0.8,18,3,15,0,0.0,140.0,0,0.0,0.9901803944857971,1.9912713116611562,1.7529782150540856
A2M,chr12,3.4988051135366085,6.666956792429207,14,135,9981,1,2491266.0,48565,0,0,2545,,56,1,21,2,0.0,533.0,0,0.0,0.8160592623640919,5.661348069789667,4.579498742832682
A2ML1,chr12,3.6754507610824,6.359573868672378,11,53,44187,1,2251826.0,64380,1,0,27349,,56,3,37,5,0.0,126.0,0,0.0,0.045157478712000265,0.124505279550498,0.07783368496308372
A3GALT2,chr1,3.3443005991767567,6.504288173536645,15,55,27006,1,1042848.0,14332,1,1,0,0.98,32,1,9,4,0.0,29.0,0,0.0,0.3453902101658694,0.2552211205448216,0.21060878501627242
A4GALT,chr22,3.4468281773013176,4.060443010546419,2,2,61676,0,1691158.0,30288,1,2,0,0.875,60,3,57,0,0.0,684.0,0,0.0,0.3348974258287988,3.0267608689066567,2.5984088567456003
AAAS,chr12,3.4971271968243363,3.7612001156935615,3,4,1831,1,2750104.0,17408,0,2,0,0.89,19,3,13,0,0.0,107.0,0,0.0,2.678827342425307,3.99388129470472,3.7316315847225234
AACS,chr12,3.467893639592825,4.605170185988092,5,5,21477,0,476264.0,77969,1,4,0,0.915,104,1,91,3,0.0,82.0,0,0.0,1.1049223383641313,2.221510603216375,2.5622415922077466
AADAC,chr3,3.518708984842408,4.912654885736052,7,11,10498,1,,14986,1,0,439621,,12,1,9,1,,,0,0.0,0.014373110187137394,0.050254710245704895,0.026441326600814146
AADACL2,chr3,2.973775142021135,4.158883083359672,7,13,784,0,,27423,0,0,507199,,14,1,3,3,,,0,0.0,0.0,0.0,0.0
AADACL3,chr1,3.4339872044851463,3.4339872044851463,1,1,35891,0,1417663.0,12650,1,0,97474,,7,1,3,2,0.0,14.0,0,0.0,0.0,0.0,0.0
AADACL4,chr1,2.3978952727983707,2.3978952727983707,1,1,24892,0,1406421.0,22991,0,0,25449,,28,0,17,1,0.0,22.0,0,0.0,0.0,0.24430368814977846,0.08823429558643744
AADAT,chr4,3.3908659963507928,6.159095388491933,16,167,90266,0,,31480,0,1,0,1.08,23,3,14,1,,,0,0.0,0.022449611137457866,1.192685339907999,0.576306069902894
AAGAB,chr15,3.793376282946726,5.7899601708972535,6,9,88443,1,279875.0,54528,0,1,0,0.85,59,3,41,0,0.0,154.0,0,0.0,2.1607507546891034,3.160479468623058,3.0560815633523974
