dist_to_nearest_tss,in_gene_body,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,label
50211.0,1.0,722388.0,233867.0,1.0,1.0,0.0,1.0,155.0,7.0,113.0,9.0,0.0,204.0,0.0,2.833213344056216
57.0,1.0,3004399.0,3118.0,0.0,1.0,0.0,0.92,3.0,2.0,0.0,0.0,0.0,36.0,0.0,4.969813299576001
234747.0,1.0,6611456.0,13345.0,0.0,1.0,0.0,1.05,32.0,2.0,30.0,0.0,0.0,200.0,0.0,2.5649493574615367
3969.0,1.0,2246985.0,98417.0,0.0,1.0,0.0,0.93,66.0,2.0,50.0,2.0,0.0,171.0,0.0,2.995732273553991
212670.0,0.0,12305392.0,177422.0,1.0,1.0,0.0,0.93,85.0,5.0,47.0,11.0,0.0,112.0,0.0,3.80666248977032
150907.0,1.0,870336.0,685926.0,1.0,3.0,0.0,0.93,464.0,2.0,300.0,34.0,0.0,74.0,0.0,2.079441541679836
50048.0,1.0,2502030.0,74511.0,0.0,0.0,63163.0,0.0,83.0,1.0,68.0,2.0,0.0,45.0,0.0,4.787491742782046
211311.0,0.0,4936389.0,23244.0,0.0,0.0,148072.0,0.0,23.0,1.0,22.0,0.0,0.0,371.0,0.0,2.4849066497880004
124484.0,1.0,395713.0,191707.0,0.0,1.0,0.0,1.22,127.0,1.0,91.0,8.0,0.0,480.0,0.0,2.3978952727983707
60988.0,0.0,3211517.0,100187.0,1.0,1.0,0.0,1.06,79.0,5.0,64.0,1.0,0.0,114.0,0.0,2.772588722239781
45579.0,1.0,449424.0,125097.0,1.0,1.0,0.0,0.84,93.0,1.0,66.0,7.0,0.0,481.0,0.0,3.6375861597263857
430219.0,0.0,22933067.0,7465.0,1.0,3.0,0.0,0.9067,23.0,2.0,21.0,0.0,0.0,600.0,0.0,3.4339872044851463
209987.0,0.0,3373665.0,5345.0,1.0,2.0,0.0,0.8,16.0,2.0,14.0,0.0,0.0,330.0,0.0,3.610917912644224
352098.0,1.0,6102419.0,611853.0,0.0,2.0,0.0,0.78,517.0,2.0,306.0,45.0,0.0,115.0,0.0,5.231108616854587
50977.0,0.0,2671013.0,25167.0,0.0,0.0,1002026.0,0.0,13.0,0.0,5.0,3.0,0.0,50.0,0.0,2.6390573296152584
143360.0,0.0,5884359.0,45277.0,0.0,0.0,290065.0,0.0,37.0,3.0,26.0,2.0,0.0,1029.0,0.0,2.19722457733622
277631.0,0.0,26947766.0,239436.0,1.0,1.0,0.0,0.83,250.0,5.0,228.0,1.0,0.0,210.0,0.0,3.970291913552122
222459.0,0.0,23785928.0,429238.0,0.0,1.0,0.0,0.76,302.0,5.0,200.0,20.0,0.0,238.0,0.0,3.1354942159291497
33280.0,1.0,1456053.0,95324.0,1.0,1.0,0.0,1.13,56.0,2.0,41.0,3.0,0.0,74.0,0.0,3.9318256327243257
293619.0,0.0,23857088.0,429238.0,0.0,1.0,0.0,0.76,302.0,5.0,200.0,20.0,0.0,238.0,0.0,2.70805020110221
195264.0,0.0,26026451.0,448833.0,1.0,2.0,0.0,0.92,446.0,1.0,405.0,6.0,0.0,204.0,0.0,2.19722457733622
