gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,replication_timing
ENSG00000186092,OR4F5,chr1,65419,71585,1,0,35682,,1,0,0,0,0.0,2.0,0.0,67.929
ENSG00000284733,OR4F29,chr1,450740,451678,-1,0,39429,,0,0,0,0,0.0,2.0,0.0,23.562350000000002
ENSG00000284662,OR4F16,chr1,685716,686654,-1,0,74447,,0,0,0,0,0.0,0.0,0.0,67.15700000000001
ENSG00000187634,SAMD11,chr1,923923,944575,1,5,0,0.77,52,2,48,0,0.0,150.0,0.0,78.1458409090909
ENSG00000188976,NOC2L,chr1,943527,960714,-1,2,0,0.67,33,2,21,0,0.0,55.0,0.0,78.35435
ENSG00000187961,KLHL17,chr1,960576,965719,1,1,0,0.67,13,1,11,0,0.0,124.0,0.0,78.37804999999999
ENSG00000187583,PLEKHN1,chr1,966437,975865,1,2,0,0.705,24,1,21,1,0.0,53.0,0.0,78.3441909090909
ENSG00000187642,PERM1,chr1,975194,982134,-1,1,0,0.62,18,2,15,0,0.0,45.0,0.0,78.2844
ENSG00000188290,HES4,chr1,998962,1000172,-1,1,0,0.91,5,2,3,0,0.0,66.0,0.0,78.0087
ENSG00000187608,ISG15,chr1,1001138,1014540,1,3,0,0.8067,34,3,28,0,0.0,485.0,0.0,77.87316
ENSG00000188157,AGRN,chr1,1020120,1056119,1,9,0,0.7711,77,2,56,3,0.0,640.0,0.0,77.41967567567566
ENSG00000237330,RNF223,chr1,1070967,1074306,-1,1,0,0.7,10,1,9,0,0.0,37.0,0.0,77.116525
ENSG00000131591,C1orf159,chr1,1081811,1116361,-1,9,0,0.7467,73,2,54,1,0.0,40.0,0.0,77.25448
ENSG00000162571,TTLL10,chr1,1173880,1197940,1,2,0,0.73,41,2,26,2,0.0,56.0,0.0,79.135836
ENSG00000186891,TNFRSF18,chr1,1203508,1206592,-1,1,0,0.9,9,2,7,0,0.0,310.0,0.0,79.637325
ENSG00000186827,TNFRSF4,chr1,1211326,1214153,-1,2,0,0.75,10,1,9,0,0.0,458.0,0.0,79.80405
ENSG00000078808,SDF4,chr1,1216887,1238870,-1,5,0,0.958,48,1,47,0,0.0,463.0,0.0,80.13326521739131
ENSG00000176022,B3GALT6,chr1,1232237,1235041,1,1,0,1.05,6,1,5,0,0.0,58.0,0.0,80.24375
ENSG00000184163,C1QTNF12,chr1,1242446,1246722,-1,2,0,0.78,11,1,8,0,0.0,96.0,0.0,80.4326
ENSG00000160087,UBE2J2,chr1,1253907,1274477,-1,5,0,0.832,39,2,36,0,0.0,50.0,0.0,80.69140952380951
ENSG00000162572,SCNN1D,chr1,1280436,1292029,1,1,0,0.63,27,2,23,0,0.0,47.0,0.0,80.88529230769231
ENSG00000131584,ACAP3,chr1,1292376,1309609,-1,3,0,0.76,42,3,39,0,0.0,43.0,0.0,80.95847368421052
ENSG00000169972,PUSL1,chr1,1308567,1311677,1,1,0,1.03,11,1,10,0,0.0,39.0,0.0,80.9888
ENSG00000127054,INTS11,chr1,1311585,1324687,-1,3,0,0.7467,26,2,23,0,0.0,45.0,0.0,81.0032857142857
ENSG00000224051,CPTP,chr1,1324756,1328897,1,2,0,0.815,10,1,9,0,0.0,34.0,0.0,81.01410000000001
ENSG00000169962,TAS1R3,chr1,1331280,1335314,1,2,0,0.695,11,1,10,0,0.0,112.0,0.0,81.01921999999999
ENSG00000107404,DVL1,chr1,1335276,1349945,-1,5,0,0.782,35,2,29,0,0.0,247.0,0.0,81.027175
ENSG00000162576,MXRA8,chr1,1352689,1361777,-1,1,0,1.07,28,3,25,0,0.0,130.0,0.0,81.04694
ENSG00000175756,AURKAIP1,chr1,1373729,1375521,-1,1,0,0.82,7,1,6,0,0.0,60.0,0.0,81.09683333333334
ENSG00000221978,CCNL2,chr1,1385711,1399339,-1,2,0,1.025,22,1,16,0,0.0,464.0,0.0,81.18575714285716
ENSG00000242485,MRPL20,chr1,1401908,1407306,-1,1,0,1.01,14,2,9,0,0.0,24.0,0.0,81.26386666666667
ENSG00000235098,ANKRD65,chr1,1415637,1421769,-1,1,0,0.85,14,4,10,0,0.0,11.0,0.0,81.36751428571428
ENSG00000205116,TMEM88B,chr1,1425871,1430255,1,2,0,0.93,12,1,11,0,0.0,21.0,0.0,81.42898
ENSG00000179403,VWA1,chr1,1434861,1442882,1,2,0,1.08,24,2,22,0,0.0,63.0,0.0,81.49178888888889
ENSG00000215915,ATAD3C,chr1,1449689,1470163,1,2,0,0.715,22,0,8,0,0.0,44.0,0.0,81.5372142857143
ENSG00000160072,ATAD3B,chr1,1471756,1497848,1,4,0,0.8175,39,1,18,3,0.0,68.0,0.0,81.38502222222222
ENSG00000197785,ATAD3A,chr1,1512147,1534686,1,6,0,0.73,33,2,16,2,0.0,140.0,0.0,80.513975
ENSG00000205090,TMEM240,chr1,1534778,1540624,-1,3,0,0.86,15,2,13,0,0.0,110.0,0.0,79.9825857142857
ENSG00000160075,SSU72,chr1,1541673,1574884,-1,3,0,0.95,70,3,66,0,0.0,41.0,0.0,79.09124705882354
ENSG00000228594,FNDC10,chr1,1598012,1600135,-1,1,0,1.13,6,1,5,0,0.0,4.0,0.0,77.42223333333332
ENSG00000197530,MIB2,chr1,1615434,1630610,1,4,0,0.7825,45,4,40,0,0.0,102.0,0.0,76.87071176470587
ENSG00000189409,MMP23B,chr1,1631665,1635263,1,1,0,0.64,4,1,2,0,0.0,66.0,0.0,76.7833
ENSG00000248333,CDK11B,chr1,1635225,1659234,-1,4,0,0.805,19,1,11,3,0.0,103.0,0.0,76.894664
ENSG00000189339,SLC35E2B,chr1,1659529,1693017,-1,3,0,0.8567,63,2,58,0,0.0,22.0,0.0,77.78732352941176
ENSG00000008128,CDK11A,chr1,1702379,1724482,-1,3,0,0.86,21,1,9,3,0.0,45.0,0.0,79.7372
ENSG00000008130,NADK,chr1,1751232,1780544,-1,3,0,0.7667,58,3,52,0,0.0,92.0,0.0,82.20035483870967
ENSG00000078369,GNB1,chr1,1785285,1892292,-1,1,0,1.2,152,1,137,0,0.0,280.0,0.0,80.48891018518519
ENSG00000169885,CALML6,chr1,1915108,1917296,1,0,1363,,5,1,4,0,0.0,44.0,0.0,75.77550000000001
ENSG00000178821,TMEM52,chr1,1917589,1919329,-1,1,0,0.77,5,1,4,0,0.0,29.0,0.0,75.63980000000001
ENSG00000142609,CFAP74,chr1,1921951,2003837,-1,7,0,0.7814,139,1,98,6,0.0,42.0,0.0,74.15685542168673
ENSG00000187730,GABRD,chr1,2019329,2030758,1,5,0,0.854,29,1,28,0,0.0,348.0,0.0,73.85289230769231
ENSG00000067606,PRKCZ,chr1,2050411,2185395,1,15,0,0.8513,273,5,259,1,0.0,285.0,0.0,75.92337573529412
ENSG00000162585,FAAP20,chr1,2184461,2212720,-1,4,0,0.795,67,3,62,0,0.0,66.0,0.0,75.52397666666664
ENSG00000157933,SKI,chr1,2227388,2310213,1,6,0,0.8433,193,2,191,0,0.0,294.0,0.0,71.63894880952382
ENSG00000116151,MORN1,chr1,2319208,2391707,-1,9,0,0.7933,149,3,134,1,0.0,42.0,0.0,68.29041621621623
ENSG00000157916,RER1,chr1,2390670,2405444,1,2,0,0.83,29,3,24,0,0.0,100.0,0.0,67.45038666666669
