gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000292344,PLCXD1,chrY,276322,303358,1,6,0,0.7683,0,0,0,0,,,,0,0,
ENSG00000292358,GTPBP6,chrY,303346,318846,-1,8,0,0.7675,0,0,0,0,,,,0,0,
ENSG00000292327,PPP2R3B,chrY,333933,386955,-1,14,0,0.7914,0,0,0,0,,,,0,0,
ENSG00000292354,SHOX,chrY,624344,659411,1,6,0,0.8783,0,0,0,0,,,,0,0,
ENSG00000292363,CRLF2,chrY,1190490,1212723,-1,1,0,0.95,0,0,0,0,,,,0,0,
ENSG00000292357,CSF2RA,chrY,1268779,1325373,1,1,0,0.8,0,0,0,0,,,,0,0,
ENSG00000292332,IL3RA,chrY,1335025,1382689,1,2,0,1.13,0,0,0,0,,,,0,0,
ENSG00000292334,SLC25A6,chrY,1386133,1392929,-1,4,0,0.9025,0,0,0,0,,,,0,0,
ENSG00000292339,ASMTL,chrY,1403138,1453786,-1,7,0,0.7929,0,0,0,0,,,,0,0,
ENSG00000292333,P2RY8,chrY,1462572,1537187,-1,2,0,0.82,0,0,0,0,,,,0,0,
ENSG00000292343,AKAP17A,chrY,1591604,1602532,1,3,0,0.84,0,0,0,0,,,,0,0,
ENSG00000292336,ASMT,chrY,1615059,1643081,1,0,13325,,0,0,0,0,,,,0,0,
ENSG00000292338,DHRSX,chrY,2219506,2502805,-1,3,0,0.8767,0,0,0,0,,,,0,0,
ENSG00000292345,ZBED1,chrY,2486414,2502862,-1,3,0,0.8767,0,0,0,0,,,,0,0,
ENSG00000292348,CD99,chrY,2690988,2741312,1,1,0,0.82,0,0,0,0,,,,0,0,
ENSG00000184895,SRY,chrY,2786855,2787682,-1,0,2079,,4,1,3,0,,,,0,0,
ENSG00000129824,RPS4Y1,chrY,2841602,2932000,1,0,2923,,48,1,35,0,,,,1,0,
ENSG00000067646,ZFY,chrY,2935281,2982512,1,1,0,1.02,35,2,29,0,,,,1,0,
ENSG00000176679,TGIF2LY,chrY,3579067,3580041,1,0,642825,,0,0,0,0,,,,0,0,
ENSG00000099715,PCDH11Y,chrY,5000226,5742224,1,2,0,0.75,36,1,14,1,,,,0,0,
ENSG00000168757,TSPY2,chrY,6246223,6249019,1,1,0,0.66,1,0,0,0,,,,0,0,
ENSG00000099721,AMELY,chrY,6865918,6911752,-1,1,0,0.9,19,3,7,0,,,,0,0,
ENSG00000092377,TBL1Y,chrY,6910686,7101970,1,1,0,0.9,97,3,55,2,,,,0,0,
ENSG00000233803,TSPY4,chrY,9337464,9340284,1,1,0,0.68,0,0,0,0,,,,0,0,
ENSG00000229549,TSPY8,chrY,9357797,9360599,1,1,0,0.65,0,0,0,0,,,,0,0,
ENSG00000228927,TSPY3,chrY,9398421,9401223,1,1,0,0.67,0,0,0,0,,,,0,0,
ENSG00000258992,TSPY1,chrY,9466955,9469749,1,1,0,0.63,0,0,0,0,,,,0,0,
ENSG00000238074,TSPY9,chrY,9487267,9490081,1,1,0,0.67,0,0,0,0,,,,0,0,
ENSG00000236424,TSPY10,chrY,9527880,9530682,1,1,0,0.67,0,0,0,0,,,,0,0,
ENSG00000114374,USP9Y,chrY,12537650,12860852,1,1,0,0.87,107,5,69,4,,,,3,0,
ENSG00000067048,DDX3Y,chrY,12904108,12920478,1,1,0,1.11,9,2,7,0,,,,1,0,
ENSG00000183878,UTY,chrY,13234577,13480673,-1,1,0,0.94,116,2,86,0,,,,2,0,
ENSG00000154620,TMSB4Y,chrY,13703899,13706024,1,0,0,,5,1,4,0,,,,1,0,
ENSG00000129864,VCY,chrY,13985772,13986473,-1,0,232818,,0,0,0,0,,,,0,0,
ENSG00000129862,VCY1B,chrY,14056227,14056958,1,0,303273,,0,0,0,0,,,,0,0,
ENSG00000165246,NLGN4Y,chrY,14522573,14845654,1,3,0,0.84,107,4,49,4,,,,1,0,
ENSG00000129873,CDY2B,chrY,17878260,17880220,-1,0,298378,,0,0,0,0,,,,0,0,
ENSG00000182415,CDY2A,chrY,18025787,18027746,1,0,298621,,0,0,0,0,,,,0,0,
ENSG00000172468,HSFY1,chrY,18546691,18588963,1,0,159017,,0,0,0,0,,,,0,0,
ENSG00000169953,HSFY2,chrY,18731440,18773735,-1,0,218982,,0,0,0,0,,,,0,0,
ENSG00000012817,KDM5D,chrY,19703865,19744989,-1,0,136195,,25,1,20,0,,,,1,0,
ENSG00000198692,EIF1AY,chrY,20575694,20593154,1,1,0,0.86,12,1,10,0,,,,1,0,
ENSG00000280969,RPS4Y2,chrY,20756108,20781032,1,0,179942,,10,0,5,2,,,,0,0,
ENSG00000242875,RBMY1B,chrY,21511338,21525786,1,1,0,0.87,0,0,0,0,,,,0,0,
ENSG00000234414,RBMY1A1,chrY,21534879,21549326,1,1,0,0.87,0,0,0,0,,,,0,0,
ENSG00000244395,RBMY1D,chrY,21880076,21894526,-1,1,0,0.87,0,0,0,0,,,,0,0,
ENSG00000242389,RBMY1E,chrY,21903618,21918042,-1,1,0,0.87,0,0,0,0,,,,0,0,
ENSG00000169800,RBMY1F,chrY,22168542,22182982,-1,1,0,0.89,0,0,0,0,,,,0,0,
ENSG00000226941,RBMY1J,chrY,22403410,22417881,1,1,0,0.9,0,0,0,0,,,,0,0,
ENSG00000183753,BPY2,chrY,22973819,23005465,1,0,192883,,0,0,0,0,,,,0,0,
