patient_id,nearest_gene_name,chrom,last_tp_abundance,label,dist_to_nearest_tss,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,patient_id_enc
P11,OR4F5,chr1,20.0,3.044522437723423,51465,2540290.0,6166,0,0,35682,,1,0,0,0,0.0,2.0,0,2
P11,OR4F29,chr1,66.0,4.204692619390966,192174,2294740.0,938,1,0,39429,,0,0,0,0,0.0,2.0,0,2
P11,OR4F16,chr1,78.0,4.3694478524670215,60940,1928530.0,938,1,0,74447,,0,0,0,0,0.0,0.0,0,2
P11,TTLL10,chr1,0.0,0.0,28525,1408889.0,24060,0,2,0,0.73,41,2,26,2,0.0,56.0,0,2
P11,TAS1R3,chr1,70.0,4.2626798770413155,3226,1226190.0,4034,0,2,0,0.695,11,1,10,0,0.0,112.0,0,2
P11,MIB2,chr1,21.0,3.091042453358316,7402,946212.0,15176,1,4,0,0.7825,45,4,40,0,0.0,102.0,0,2
P11,CDK11A,chr1,95.0,4.564348191467836,11487,841249.0,22103,1,3,0,0.86,21,1,9,3,0.0,45.0,0,2
P11,RER1,chr1,0.0,0.0,72137,235711.0,14774,0,2,0,0.83,29,3,24,0,0.0,100.0,0,2
P11,PHF13,chr1,0.0,0.0,16262,187985.0,10299,0,1,0,0.95,19,3,14,0,0.0,160.0,0,2
P11,CAMTA1,chr1,43.0,3.784189633918261,39847,39847.0,984252,1,6,0,0.8533,1238,6,941,47,1.0,303.0,1,2
P11,UTS2,chr1,101.0,4.624972813284271,33704,1034354.0,10429,1,0,15667,,9,1,3,1,0.0,226.0,0,2
P11,SLC45A1,chr1,109.0,4.700480365792417,124099,1408551.0,26063,0,6,0,0.7717,33,2,17,6,0.0,99.0,0,2
P11,RERE,chr1,230.0,5.442417710521793,265324,1798143.0,496524,1,4,0,0.865,684,6,631,10,0.0,560.0,0,2
P11,CA6,chr1,0.0,0.0,22535,2137878.0,29225,1,0,64129,,44,1,42,0,0.0,181.0,0,2
P11,SLC2A7,chr1,16.0,2.833213344056216,39254,2201715.0,23450,1,0,12798,,33,1,32,0,0.0,25.0,0,2
P11,GPR157,chr1,192.0,5.262690188904886,20292,2153726.0,28817,1,1,0,0.85,49,2,43,0,0.0,31.0,0,2
P11,SPSB1,chr1,146.0,4.990432586778736,14078,1984533.0,77431,1,3,0,0.9,144,1,135,0,0.0,87.0,0,2
P11,PIK3CD,chr1,114.0,4.74493212836325,19627,1652294.0,100228,0,3,0,0.84,143,4,136,0,0.0,2196.0,0,2
P11,CLSTN1,chr1,169.0,5.135798437050262,96887,1535450.0,95067,0,4,0,0.82,134,2,123,1,0.0,190.0,0,2
P11,PGD,chr1,48.0,3.8918202981106265,89876,953840.0,21919,0,1,0,0.88,23,1,19,0,0.0,275.0,0,2
P11,MTOR,chr1,17.0,2.8903717578961645,35950,35950.0,156025,1,1,0,0.75,156,3,145,0,5.0,2341.0,1,2
P11,NPPB,chr1,425.0,6.054439346269371,1424,594996.0,1512,1,0,82,,4,1,3,0,0.0,1194.0,0,2
P11,DHRS3,chr1,237.0,5.472270673671475,192912,1164665.0,52224,1,2,0,0.865,100,4,86,1,0.0,114.0,0,2
P11,KAZN,chr1,250.0,5.5254529391317835,38178,1981481.0,1225251,1,6,0,0.925,1341,9,1002,61,0.0,101.0,0,2
P11,ZBTB17,chr1,142.0,4.962844630259907,69068,70969.0,35729,1,3,0,0.77,78,1,73,0,0.0,102.0,0,2
P11,EPHA2,chr1,37.0,3.6375861597263857,5073,314901.0,31732,0,3,0,0.83,74,2,71,0,0.0,552.0,0,2
P11,CPLANE2,chr1,121.0,4.804021044733257,11880,389208.0,5491,0,1,0,1.06,9,1,8,0,0.0,140.0,0,2
P11,NBPF1,chr1,109.0,4.700480365792417,65862,711605.0,51243,1,1,0,0.91,40,1,31,3,0.0,109.0,0,2
P11,SDHB,chr1,0.0,0.0,18289,1199767.0,35487,1,1,0,0.97,39,1,33,0,0.0,752.0,0,2
P11,ACTL8,chr1,67.0,4.219507705176107,105988,981501.0,71730,0,1,0,0.68,66,1,36,6,0.0,61.0,0,2
P11,MRTO4,chr1,0.0,0.0,2616,623566.0,8332,1,1,0,0.88,15,0,14,0,0.0,34.0,0,2
